Unnamed: 0,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Month,Hour
26,0xe0ac,KOCRES16DEL02,33.0,4.8,10.003064,76.307589,10.133064,76.437589,2022-02-14,23:20:00,23:25:00,Fog,Low,1.0,Meal,motorcycle,0.0,No,Metropolitian,26.0,2,0
27,0x1233,HYDRES09DEL03,23.0,4.9,17.431668,78.408321,17.461668,78.438321,2022-04-05,23:55:00,00:05:00,Sandstorms,Low,1.0,Drinks,motorcycle,1.0,No,Urban,14.0,4,0
28,0x6077,PUNERES19DEL01,20.0,4.5,18.563934,73.915367,18.573935,73.925367,2022-03-01,08:15:00,08:25:00,Cloudy,Low,0.0,Meal,motorcycle,0.0,No,Urban,24.0,3,0
29,0xd1cb,LUDHRES05DEL02,31.0,4.9,30.905562,75.832841,30.955562,75.882841,2022-02-15,19:55:00,20:10:00,Windy,Jam,2.0,Drinks,scooter,1.0,No,Metropolitian,26.0,2,0
30,0x11b8,COIMBRES12DEL03,26.0,5.0,11.000762,76.981876,11.090762,77.071876,2022-03-20,17:25:00,17:40:00,Stormy,Medium,1.0,Drinks,motorcycle,1.0,No,Metropolitian,27.0,3,0
31,0x12c2,MUMRES01DEL01,28.0,4.8,19.12663,72.829976,19.19663,72.899976,2022-03-14,17:15:00,17:25:00,Cloudy,Medium,2.0,Meal,scooter,1.0,No,Metropolitian,33.0,3,0
32,0x4047,HYDRES15DEL02,38.0,5.0,17.45971,78.368855,17.58971,78.498855,2022-03-23,19:30:00,19:40:00,Windy,Jam,0.0,Buffet,motorcycle,2.0,Yes,Semi-Urban,53.0,3,0
33,0x1c90,PUNERES13DEL03,30.0,4.6,18.56245,73.916619,18.62245,73.976619,2022-03-26,17:35:00,17:50:00,Sunny,Medium,1.0,Snack,scooter,1.0,No,Urban,17.0,3,0
34,0x5f19,COIMBRES14DEL03,27.0,4.9,11.003681,76.975525,11.033681,77.005525,2022-03-09,17:40:00,17:45:00,Stormy,Medium,0.0,Drinks,motorcycle,1.0,No,Urban,26.0,3,0
35,0x7f6b,HYDRES06DEL03,28.0,4.8,17.455894,78.375467,17.545894,78.465467,2022-03-14,21:45:00,21:55:00,Sandstorms,Jam,2.0,Snack,scooter,0.0,No,Metropolitian,15.0,3,0
36,0xb879,BANGRES15DEL03,28.0,4.6,12.975377,77.696664,13.035377,77.756664,2022-03-09,18:35:00,18:50:00,Stormy,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,25.0,3,0
37,0xcb2f,AGRRES11DEL02,30.0,4.1,27.163303,78.057044,27.213303,78.107044,2022-02-17,22:45:00,23:00:00,Sandstorms,Low,0.0,Buffet,motorcycle,1.0,No,Metropolitian,34.0,2,0
38,0xaa68,SURRES13DEL03,26.0,4.7,21.170096,72.789122,21.200096,72.819122,2022-03-07,23:35:00,23:45:00,Cloudy,Low,1.0,Drinks,motorcycle,0.0,No,Metropolitian,11.0,3,0
39,0xbb6a,COIMBRES18DEL02,34.0,4.2,11.02091,76.940432,11.15091,77.070432,2022-03-08,22:00:00,22:15:00,Sandstorms,Jam,0.0,Snack,motorcycle,3.0,No,Metropolitian,48.0,3,0
40,0x2763,CHENRES12DEL01,38.0,4.5,12.972793,80.249982,12.982793,80.259982,2022-03-17,08:30:00,08:45:00,Cloudy,Low,1.0,Buffet,motorcycle,0.0,No,Metropolitian,17.0,3,0
41,0x6088,HYDRES14DEL01,31.0,4.3,17.426228,78.407495,17.496228,78.477495,2022-04-02,20:50:00,21:00:00,Fog,Jam,2.0,Buffet,scooter,2.0,No,Metropolitian,36.0,4,0
42,0x60c5,COIMBRES20DEL01,20.0,4.8,10.994136,76.963303,11.104136,77.073303,2022-03-04,20:20:00,20:25:00,Windy,Jam,2.0,Snack,motorcycle,0.0,No,Metropolitian,20.0,3,0
43,0x7760,RANCHIRES18DEL03,20.0,4.5,23.351489,85.324253,23.381489,85.354253,2022-03-03,18:10:00,18:25:00,Cloudy,Medium,2.0,Drinks,electric_scooter,1.0,No,Urban,19.0,3,0
44,0xb742,SURRES010DEL03,29.0,4.9,21.17106,72.789292,21.20106,72.819292,2022-04-01,22:00:00,22:15:00,Fog,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,20.0,4,0
45,0x5809,BANGRES09DEL01,23.0,4.8,12.934179,77.615797,13.004179,77.685797,2022-03-25,22:55:00,23:05:00,Windy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,20.0,3,0
46,0x3749,COIMBRES010DEL02,38.0,4.7,11.003008,76.97544,11.023008,76.99544,2022-03-24,09:30:00,09:35:00,Cloudy,Low,2.0,Meal,motorcycle,1.0,No,Urban,15.0,3,0
47,0xad7c,BANGRES08DEL02,37.0,4.7,12.906229,77.596791,12.956229,77.646791,2022-04-03,19:55:00,20:10:00,Sunny,Jam,1.0,Snack,motorcycle,1.0,No,Metropolitian,22.0,4,0
48,0x2ce2,CHENRES11DEL01,31.0,4.7,13.064181,80.236442,13.104181,80.276442,2022-03-11,13:00:00,13:15:00,Sandstorms,High,0.0,Drinks,motorcycle,2.0,No,Metropolitian,44.0,3,0
49,0xb288,SURRES06DEL03,37.0,4.5,21.185047,72.80859,21.215047,72.83859,2022-03-09,21:55:00,22:05:00,Sunny,Jam,1.0,Snack,scooter,1.0,No,Urban,17.0,3,0
50,0x51ab,MYSRES05DEL02,23.0,4.7,12.323978,76.627961,12.403978,76.707961,2022-03-14,20:25:00,20:30:00,Stormy,Jam,1.0,Meal,scooter,1.0,No,Metropolitian,22.0,3,0
51,0x840c,SURRES04DEL02,29.0,4.9,21.173493,72.801953,21.253493,72.881953,2022-03-14,22:10:00,22:25:00,Sandstorms,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,19.0,3,0
52,0x6c41,MYSRES05DEL02,22.0,5.0,12.323978,76.627961,12.403978,76.707961,2022-03-12,23:55:00,00:10:00,Cloudy,Low,2.0,Buffet,electric_scooter,1.0,No,Urban,29.0,3,0
53,0x6f08,VADRES09DEL01,23.0,5.0,0.0,0.0,0.04,0.04,2022-03-09,15:20:00,15:30:00,Sandstorms,Medium,0.0,Drinks,motorcycle,1.0,No,Metropolitian,22.0,3,0
54,0x5279,RANCHIRES07DEL03,21.0,5.0,23.359407,85.325055,23.389407,85.355055,2022-03-15,20:00:00,20:15:00,Fog,Jam,2.0,Buffet,scooter,1.0,No,Metropolitian,28.0,3,0
55,0x6a35,INDORES18DEL02,30.0,4.5,22.753839,75.897429,22.773839,75.917429,2022-03-01,10:55:00,11:10:00,Cloudy,Low,0.0,Snack,motorcycle,1.0,No,Urban,22.0,3,0
56,0x5ddc,BANGRES07DEL01,20.0,4.6,12.978453,77.643685,13.088453,77.753685,2022-03-10,17:35:00,17:45:00,Sandstorms,Medium,2.0,Buffet,scooter,1.0,No,Metropolitian,24.0,3,0
57,0x94f2,VADRES11DEL02,30.0,4.3,22.308096,73.167753,22.328096,73.187753,2022-03-28,10:00:00,10:10:00,Windy,Low,0.0,Snack,motorcycle,1.0,No,Metropolitian,30.0,3,0
58,0xbb19,COIMBRES07DEL03,21.0,4.6,10.96185,76.971082,10.99185,77.001082,2022-03-30,17:10:00,17:25:00,Cloudy,Medium,1.0,Buffet,motorcycle,0.0,No,Metropolitian,16.0,3,0
59,0x70e1,RANCHIRES19DEL02,35.0,4.1,23.333017,85.3172,23.413017,85.3972,2022-03-10,21:40:00,21:50:00,Cloudy,Jam,1.0,Snack,scooter,1.0,No,Semi-Urban,48.0,3,0
60,0x3d57,BANGRES08DEL02,29.0,4.5,12.906229,77.596791,13.036229,77.726791,2022-03-18,20:55:00,21:00:00,Cloudy,Jam,2.0,Snack,scooter,1.0,No,Urban,30.0,3,0
61,0x981a,HYDRES20DEL03,23.0,4.7,17.483216,78.552111,17.573216,78.642111,2022-03-02,23:45:00,23:50:00,Windy,Low,2.0,Drinks,motorcycle,1.0,No,Urban,13.0,3,0
62,0xe0d0,BHPRES13DEL02,22.0,4.9,23.230791,77.43702,23.360791,77.56702,2022-02-16,18:00:00,18:15:00,Fog,Medium,0.0,Snack,motorcycle,1.0,No,Metropolitian,42.0,2,0
63,0x8621,SURRES010DEL01,28.0,4.7,21.17106,72.789292,21.24106,72.859292,2022-03-20,20:15:00,20:20:00,Fog,Jam,0.0,Drinks,motorcycle,1.0,No,Metropolitian,40.0,3,0
64,0x2e4a,VADRES18DEL01,20.0,4.7,0.0,0.0,0.11,0.11,2022-04-06,18:20:00,18:35:00,Sandstorms,Medium,1.0,Snack,scooter,1.0,No,Urban,21.0,4,0
65,0xb2a8,MUMRES14DEL02,25.0,4.7,19.1813,72.836191,19.2613,72.916191,2022-03-23,19:25:00,19:30:00,Fog,Jam,2.0,Drinks,scooter,2.0,No,Urban,42.0,3,0
66,0xb51f,BANGRES010DEL03,21.0,4.6,12.933298,77.614293,12.993298,77.674293,2022-03-24,21:15:00,21:30:00,Cloudy,Jam,0.0,Buffet,motorcycle,0.0,No,Metropolitian,21.0,3,0
67,0xdf02,GOARES16DEL01,34.0,4.8,15.498603,73.826911,15.508603,73.836911,2022-02-15,08:40:00,08:55:00,Sunny,Low,2.0,Snack,scooter,1.0,No,Metropolitian,19.0,2,0
68,0x2a71,MUMRES15DEL02,34.0,4.8,19.176269,72.836721,19.226269,72.886721,2022-03-28,21:10:00,21:25:00,Windy,Jam,0.0,Buffet,motorcycle,2.0,No,Metropolitian,42.0,3,0
69,0xae91,SURRES15DEL03,31.0,4.6,21.160522,72.771477,21.190522,72.801477,2022-03-07,22:55:00,23:10:00,Fog,Low,2.0,Drinks,motorcycle,1.0,No,Urban,19.0,3,0
70,0x90a5,VADRES01DEL02,39.0,4.9,22.307898,73.167788,22.437898,73.297788,2022-03-20,22:35:00,22:45:00,Sunny,Low,1.0,Snack,scooter,0.0,No,Urban,15.0,3,0
71,0x2426,BANGRES16DEL02,21.0,4.2,13.029198,77.570997,13.159198,77.700997,2022-03-29,20:40:00,20:45:00,Cloudy,Jam,2.0,Buffet,scooter,1.0,No,Metropolitian,36.0,3,0
72,0xd6ed,KNPRES16DEL03,35.0,4.2,26.482581,80.315628,26.622581,80.455628,2022-02-16,21:10:00,21:25:00,Sandstorms,Jam,2.0,Buffet,scooter,1.0,No,Metropolitian,31.0,2,0
73,0x3b65,SURRES02DEL03,33.0,4.2,21.186608,72.794136,21.216608,72.824136,2022-03-28,23:20:00,23:35:00,Windy,Low,0.0,Drinks,motorcycle,0.0,No,Metropolitian,31.0,3,0
74,0x2c07,MUMRES13DEL01,29.0,4.6,19.178321,72.834715,19.218321,72.874715,2022-03-17,15:30:00,15:40:00,Windy,Medium,2.0,Buffet,scooter,1.0,No,Metropolitian,24.0,3,0
75,0x7941,COIMBRES09DEL02,25.0,4.7,11.008638,76.984311,11.058638,77.034311,2022-03-09,22:40:00,22:50:00,Sunny,Low,1.0,Drinks,scooter,1.0,No,Metropolitian,21.0,3,0
76,0xaad7,BANGRES18DEL01,33.0,4.7,12.913041,77.683237,12.923041,77.693237,2022-03-01,09:45:00,10:00:00,Windy,Low,2.0,Snack,scooter,1.0,No,Metropolitian,27.0,3,0
77,0x49c2,INDORES13DEL01,30.0,4.8,22.745049,75.892471,22.815049,75.962471,2022-03-25,22:45:00,23:00:00,Fog,Low,2.0,Meal,electric_scooter,0.0,No,Metropolitian,29.0,3,0
78,0x5c77,JAPRES01DEL03,24.0,4.7,26.90519,75.810753,27.04519,75.950753,2022-04-02,23:55:00,00:10:00,Stormy,Low,0.0,Buffet,motorcycle,0.0,No,Urban,19.0,4,0
79,0x899c,SURRES13DEL03,20.0,4.7,21.170096,72.789122,21.230096,72.849122,2022-03-21,20:20:00,20:35:00,Windy,Jam,1.0,Drinks,motorcycle,1.0,No,Metropolitian,23.0,3,0
80,0x362f,COIMBRES12DEL01,38.0,4.9,11.000762,76.981876,11.010762,76.991876,2022-03-15,10:10:00,10:15:00,Fog,Low,0.0,Buffet,motorcycle,1.0,No,Urban,28.0,3,0
81,0xaf7d,RANCHIRES20DEL03,22.0,4.7,23.39925,85.390464,23.45925,85.450464,2022-03-15,17:10:00,17:20:00,Cloudy,Medium,1.0,Meal,scooter,1.0,No,Urban,19.0,3,0
82,0x9710,HYDRES08DEL01,25.0,4.8,17.438263,78.397865,17.478263,78.437865,2022-03-01,14:25:00,14:35:00,Fog,High,0.0,Buffet,motorcycle,1.0,No,Metropolitian,24.0,3,0
83,0x798,SURRES05DEL01,39.0,5.0,21.175104,72.804342,21.285104,72.914342,2022-03-06,18:35:00,18:40:00,Cloudy,Medium,2.0,Snack,electric_scooter,1.0,No,Metropolitian,41.0,3,0
84,0xa38c,COIMBRES05DEL01,33.0,4.3,11.022169,76.999594,11.062169,77.039594,2022-03-13,13:35:00,13:45:00,Windy,High,0.0,Buffet,motorcycle,0.0,No,Metropolitian,35.0,3,0
85,0x45fb,MUMRES05DEL02,21.0,4.6,18.927584,72.832585,18.947584,72.852585,2022-03-09,08:40:00,08:55:00,Sandstorms,Low,2.0,Drinks,motorcycle,1.0,No,Metropolitian,16.0,3,0
86,0x1929,HYDRES11DEL02,28.0,4.9,17.430448,78.418213,17.450448,78.438213,2022-03-07,08:45:00,09:00:00,Stormy,Low,1.0,Snack,motorcycle,1.0,No,Urban,18.0,3,0
87,0xa8d2,VADRES07DEL03,32.0,4.7,0.0,0.0,0.06,0.06,2022-04-01,20:50:00,20:55:00,Cloudy,Jam,0.0,Snack,motorcycle,0.0,No,Urban,31.0,4,0
88,0xd044,AURGRES13DEL02,30.0,5.0,19.880256,75.323503,19.930256,75.373503,2022-02-15,23:15:00,23:25:00,Cloudy,Low,2.0,Meal,scooter,1.0,No,Urban,19.0,2,0
89,0xda59,BHPRES16DEL02,29.0,4.8,23.264015,77.408236,23.284015,77.428236,2022-02-13,11:25:00,11:40:00,Fog,High,2.0,Snack,scooter,0.0,No,Metropolitian,23.0,2,0
90,0x1cc3,VADRES19DEL01,21.0,4.8,22.311844,73.165081,22.351844,73.205081,2022-03-11,14:40:00,14:50:00,Fog,High,1.0,Drinks,motorcycle,1.0,No,Metropolitian,30.0,3,0
91,0x1ff3,SURRES06DEL01,21.0,4.8,21.185047,72.80859,21.295047,72.91859,2022-03-20,21:45:00,21:50:00,Cloudy,Jam,2.0,Snack,scooter,0.0,No,Metropolitian,33.0,3,0
92,0xaa16,MUMRES11DEL01,28.0,4.7,18.994237,72.825553,19.004237,72.835553,2022-04-05,09:00:00,09:05:00,Sunny,Low,0.0,Meal,motorcycle,0.0,No,Metropolitian,10.0,4,0
93,0x73d7,MUMRES18DEL03,36.0,4.6,19.1093,72.825451,19.1693,72.885451,2022-03-30,20:50:00,20:55:00,Sandstorms,Jam,1.0,Drinks,motorcycle,0.0,No,Metropolitian,34.0,3,0
94,0x56c1,JAPRES19DEL01,20.0,4.0,26.913726,75.75282,26.983726,75.82282,2022-03-20,18:10:00,18:25:00,Cloudy,Medium,1.0,Drinks,scooter,1.0,No,Metropolitian,33.0,3,0
95,0x8600,HYDRES09DEL02,25.0,4.7,17.431668,78.408321,17.511668,78.488321,2022-03-02,17:20:00,17:25:00,Sunny,Medium,1.0,Buffet,scooter,1.0,No,Metropolitian,10.0,3,0
96,0x14cf,MUMRES16DEL01,24.0,4.5,19.120083,72.907385,19.190083,72.977385,2022-03-23,20:10:00,20:25:00,Sunny,Jam,0.0,Meal,motorcycle,0.0,No,Metropolitian,20.0,3,0
97,0x4a47,JAPRES20DEL03,34.0,3.9,26.956431,75.776649,27.046431,75.866649,2022-04-02,17:40:00,17:50:00,Sandstorms,Medium,2.0,Snack,scooter,0.0,No,Metropolitian,34.0,4,0
98,0xb907,BANGRES010DEL01,29.0,5.0,12.933298,77.614293,13.003298,77.684293,2022-03-25,17:45:00,17:50:00,Sunny,Medium,0.0,Buffet,motorcycle,0.0,No,Metropolitian,26.0,3,0
99,0xd691,DEHRES15DEL02,39.0,4.8,0.0,0.0,0.08,0.08,2022-02-14,19:50:00,20:00:00,Fog,Jam,1.0,Meal,motorcycle,1.0,No,Metropolitian,43.0,2,0
100,0xa80,SURRES02DEL03,26.0,4.2,21.186608,72.794136,21.276608,72.884136,2022-03-25,19:00:00,19:15:00,Cloudy,Medium,2.0,Drinks,electric_scooter,1.0,No,Metropolitian,35.0,3,0
101,0x5c2d,HYDRES03DEL03,34.0,4.5,17.422819,78.449578,17.482819,78.509578,2022-03-19,19:30:00,19:45:00,Sunny,Jam,2.0,Snack,electric_scooter,1.0,No,Metropolitian,18.0,3,0
102,0x7173,INDORES08DEL03,29.0,5.0,22.725748,75.898497,22.785747,75.958497,2022-03-01,23:00:00,23:15:00,Sunny,Low,2.0,Snack,scooter,0.0,No,Metropolitian,22.0,3,0
103,0x6b58,VADRES01DEL01,33.0,4.4,22.307898,73.167788,22.317898,73.177788,2022-03-01,11:45:00,11:50:00,Fog,High,0.0,Meal,motorcycle,1.0,No,Urban,32.0,3,0
104,0xbd5c,INDORES03DEL01,33.0,4.9,22.751857,75.866699,22.791857,75.906699,2022-03-13,14:55:00,15:10:00,Sandstorms,High,2.0,Snack,scooter,1.0,No,Metropolitian,26.0,3,0
105,0xcc80,LUDHRES16DEL02,33.0,4.5,30.895817,75.813112,30.945817,75.863112,2022-02-17,22:00:00,22:05:00,Stormy,Jam,2.0,Drinks,motorcycle,1.0,No,Metropolitian,30.0,2,0
106,0x904d,MYSRES12DEL01,25.0,4.5,12.284747,76.625861,12.294747,76.635861,2022-03-13,10:25:00,10:35:00,Cloudy,Low,2.0,Buffet,electric_scooter,1.0,No,Urban,16.0,3,0
107,0x590b,JAPRES09DEL02,26.0,4.9,26.911378,75.789034,26.961378,75.839034,2022-03-30,18:25:00,18:40:00,Stormy,Medium,0.0,Meal,motorcycle,1.0,No,Metropolitian,20.0,3,0
108,0x5d98,MUMRES11DEL03,37.0,5.0,18.994237,72.825553,19.024237,72.855553,2022-03-03,17:15:00,17:30:00,Windy,Medium,0.0,Buffet,motorcycle,1.0,No,Metropolitian,32.0,3,0
109,0x12a2,JAPRES03DEL02,36.0,4.9,26.913483,75.803139,26.963483,75.853139,2022-03-13,23:25:00,23:40:00,Stormy,Low,1.0,Snack,scooter,0.0,No,Metropolitian,26.0,3,0
110,0x63e3,COIMBRES12DEL03,21.0,5.0,11.000762,76.981876,11.090762,77.071876,2022-03-29,17:15:00,17:25:00,Fog,Medium,1.0,Drinks,motorcycle,1.0,No,Urban,27.0,3,0
111,0xd546,KOCRES03DEL02,37.0,5.0,10.020683,76.310631,10.100683,76.390631,2022-02-18,23:10:00,23:15:00,Sandstorms,Low,1.0,Snack,scooter,0.0,No,Metropolitian,21.0,2,0
112,0x99db,RANCHIRES06DEL02,34.0,4.6,23.357804,85.325146,23.377804,85.345146,2022-03-07,09:50:00,10:05:00,Cloudy,Low,0.0,Meal,motorcycle,1.0,No,Metropolitian,29.0,3,0
113,0x4edf,SURRES14DEL01,21.0,4.8,21.157729,72.768726,21.197729,72.808726,2022-03-21,15:30:00,15:35:00,Windy,Medium,2.0,Buffet,motorcycle,1.0,No,Metropolitian,29.0,3,0
114,0x228e,JAPRES17DEL01,23.0,5.0,26.892312,75.806896,26.962312,75.876896,2022-03-29,20:30:00,20:45:00,Sandstorms,Jam,2.0,Snack,scooter,1.0,No,Metropolitian,25.0,3,0
115,0x86b0,SURRES010DEL02,21.0,4.7,21.17106,72.789292,21.22106,72.839292,2022-03-15,18:45:00,18:55:00,Sandstorms,Medium,0.0,Snack,motorcycle,0.0,No,Metropolitian,14.0,3,0
116,0x20c7,MYSRES13DEL02,39.0,5.0,12.310972,76.659264,12.440972,76.789264,2022-04-04,18:45:00,18:55:00,Fog,Medium,2.0,Drinks,scooter,0.0,No,Metropolitian,38.0,4,0
117,0x677e,MYSRES08DEL01,28.0,5.0,12.297954,76.665169,12.337954,76.705169,2022-03-28,15:00:00,15:05:00,Sandstorms,High,2.0,Buffet,motorcycle,1.0,No,Metropolitian,22.0,3,0
118,0xfcf,INDORES08DEL01,37.0,4.4,22.725748,75.898497,22.765747,75.938497,2022-03-28,14:30:00,14:40:00,Fog,High,0.0,Drinks,motorcycle,1.0,No,Metropolitian,31.0,3,0
119,0x7a10,HYDRES20DEL01,30.0,4.7,17.483216,78.552111,17.523216,78.592111,2022-03-28,13:55:00,14:00:00,Sunny,High,2.0,Drinks,scooter,0.0,No,Metropolitian,21.0,3,0
120,0x30b6,HYDRES16DEL01,33.0,4.7,17.440827,78.393391,17.510827,78.463391,2022-03-20,21:55:00,22:05:00,Sunny,Jam,0.0,Meal,motorcycle,1.0,No,Metropolitian,32.0,3,0
121,0xa7f3,JAPRES18DEL01,31.0,4.7,26.913987,75.752891,27.023987,75.862891,2022-03-02,22:50:00,22:55:00,Stormy,Low,0.0,Drinks,motorcycle,1.0,No,Metropolitian,26.0,3,0
122,0xbcbc,COIMBRES19DEL02,21.0,4.7,11.022298,76.998349,11.042298,77.018349,2022-03-11,08:50:00,09:05:00,Sandstorms,Low,1.0,Snack,scooter,1.0,No,Metropolitian,18.0,3,0
123,0x9324,VADRES19DEL01,34.0,3.6,22.311844,73.165081,22.421844,73.275081,2022-03-10,21:30:00,21:45:00,Windy,Jam,1.0,Snack,scooter,1.0,No,Metropolitian,40.0,3,0
124,0x6354,RANCHIRES08DEL02,25.0,4.7,23.353783,85.326967,23.433783,85.406967,2022-04-04,23:00:00,23:10:00,Sandstorms,Low,1.0,Buffet,scooter,0.0,No,Metropolitian,19.0,4,0
